parameter_id,name,value,units,constant,pbpko_class,chebi_ids
PC_foetus_5,,0.58,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_6,,0.58,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_foetus_6,,0.58,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_7,,0.1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_foetus_7,,0.1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_8,,0.58,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_foetus_8,,0.58,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_9,,0.22,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_foetus_9,,0.22,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_10,,0.1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_foetus_10,,0.1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_11,,0.58,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_foetus_11,,0.58,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_12,,0.38,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_foetus_12,,0.38,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_13,,0.58,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_foetus_13,,0.58,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_14,,0.58,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_foetus_14,,0.58,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_15,,0.63,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_foetus_15,,0.63,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_16,,0.58,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_foetus_16,,0.58,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_17,,0.58,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_foetus_17,,0.58,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_18,,0.52,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_foetus_18,,0.52,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_22,,1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_foetus_22,,1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_26,,1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_foetus_26,,1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_27,,1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_foetus_27,,1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_29,,0.02,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_foetus_29,,0.02,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
Ka_stomach,,0,per_min,true,http://purl.obolibrary.org/obo/PBPKO_00237,
Ka_gut,,0,per_min,true,http://purl.obolibrary.org/obo/PBPKO_00237,
Ke_bile,,0,per_min,true,http://purl.obolibrary.org/obo/PBPKO_00237,
Ke_renal_input,,0,per_min,true,http://purl.obolibrary.org/obo/PBPKO_00237,
F_gut2faeces_input,&lt;0 means use age-dependent default,-1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
Kd_pla2amniot,,0,per_min,true,http://purl.obolibrary.org/obo/PBPKO_00237,
Kd_uter2pla_frac,,0,per_min,true,http://purl.obolibrary.org/obo/PBPKO_00237,
Ka_amniot,,0,per_min,true,http://purl.obolibrary.org/obo/PBPKO_00237,
Ke_gut_foetus,,0,per_min,true,http://purl.obolibrary.org/obo/PBPKO_00237,
Ke_bile_foetus,,0,per_min,true,http://purl.obolibrary.org/obo/PBPKO_00237,
K_PerMin,,0,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
K_LPerMin,,0,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
Km,,1,mg_per_L,true,http://purl.obolibrary.org/obo/PBPKO_00535,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
Vmax_mp,,0,mg_per_min,true,http://purl.obolibrary.org/obo/PBPKO_00536,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
RateInj,,0,mg_per_min,false,http://purl.obolibrary.org/obo/PBPKO_00322,
C_inh,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
Q_ing_rate,,0,L_per_min,false,http://purl.obolibrary.org/obo/PBPKO_00012,
C_milk_input,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
Memory_Gest,,0,min,false,http://purl.obolibrary.org/obo/PBPKO_00551,
Memory_Lact,,0,min,false,http://purl.obolibrary.org/obo/PBPKO_00551,
t_days,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
Age,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
Gestation_StartAge,,0,min,false,http://purl.obolibrary.org/obo/PBPKO_00551,
Gestation_EndAge,,0,min,false,http://purl.obolibrary.org/obo/PBPKO_00551,
Gestation_Duration,,0,min,false,http://purl.obolibrary.org/obo/PBPKO_00551,
LactationTotal_Duration,,0,min,false,http://purl.obolibrary.org/obo/PBPKO_00551,
LactationPartial_Duration,,0,min,false,http://purl.obolibrary.org/obo/PBPKO_00551,
Lactation_Duration,,0,min,false,http://purl.obolibrary.org/obo/PBPKO_00551,
LactationTotal_EndAge,,0,min,false,http://purl.obolibrary.org/obo/PBPKO_00551,
Lactation_EndAge,,0,min,false,http://purl.obolibrary.org/obo/PBPKO_00551,
Gest_Age,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
Gest_Age_inWeek,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
